rowid,inst_name_full,country.name,year,region,inst_type,mfiname,asofdate,inst_num,year_founded,permfi,mfiid,diamonds,assets,numborrs,numborrsind,numborrsgrp,numborrsshg,numloans,numloansind,numloansgrp,numloansshg,loanport,loanportind,loanportgrp,loanportshg,avgbalnc,avgbalncpinc,avgloanpbpinc,oss,frpa,fepa,oepa,cpb,cpl,par30,par90,writeoffratio,loanlossrate,maxdiamonds,regular_case,log_par30,log_par90,age,share_grp,log_avg_loan,log_ass_loan,log_numborrs,wdi_gdpgrowth,wdi_rural,wdi_laborforce,wdi_fdi,wdi_manufac,wdi_agricul,wdi_remittances,wdi_gini,wdi_inflation,wdi_privcredit,wdi_bankdens,wdi_atmdens,db_getcredit,db_enfcontract,db_registprop,wgi_cor,wgi_eff,wgi_reg,wgi_acc,wgi_law,wgi_sta,wdi_gdp,wdi_gdp_sq,swiid_gini,hdi,hdi_sq,efi_score,fgi_econ,fgi_ineq,cooperation,coop_srvy_years,ling_cluster
11,ADRIA mikro,Bosnia & Herzegovina,2010,Eastern Europe and Central Asia,NBFI,ADRIA mikro,2010-12-31,23,2008,1,128911,4,937671.23,509,0,0,0,512,512,0,0,857534.25,857534.25,0,0,1674.87,0.3602,0.3623,0.9257,0.2402,0.046,0.1927,NA,NA,0.0256,0.0096,0.0548,0.0548,4,TRUE,-3.665162927496621,-4.645992180508347,2,0,7.42349177387604,0.089338266566862,6.23244801655052,2.62997048976155,54.442,54.073,2.58395449875189,10.884808040209,6.79676215913764,10.6091172731046,NA,1.99621236745889,61.84531111917,31.5147749527999,35.1658769290389,62.5,57.6,58.7,-0.336401551961899,-0.737868010997772,-0.119476206600666,-0.0824492052197456,-0.355648875236511,-0.693730175495148,10635.1871989919,113107206.75760116,39,0.725,0.525625,56.2,5.7,7.1,9.1117242981746,1998; 2001; 2008; 2019,cluster_03
13,AREGAK Universal Credit Organization CJSC,Armenia,2008,Eastern Europe and Central Asia,NBFI,AREGAK UCO,2008-12-31,41,2006,1,104208,4,30784777.87,26135,0,0,0,26180,25240,940,0,24750323.84,18782646.05,5967677.79,0,945.39,0.2822,0.2827,1.248,0.2927,0.069,0.1568,160.7804,160.6263,0.0135,0.009,0,0,4,TRUE,-4.305065593537753,-4.710530701645918,2,0.241115139687805,6.85159809187393,0.218181769436556,10.17103069114702,7.65145505823371,36.36,68.524,8.09234920917782,8.84215177305394,16.308446804234126,16.3270491787546,29.2,8.94995335353386,19.38673968654676,17.3138003877776,23.1137087062639,68.8,57.4,92.9,-0.712412357330322,-0.17073829472065,0.300939857959747,-0.857629656791687,-0.337751358747482,-0.00685302773490548,10201.5594510386,104071815.23307498,36.3,0.742,0.550564,69.8539165,5.6,6,8.82636337247188,2008; 2011; 2018; 2021,cluster_03
14,AREGAK Universal Credit Organization CJSC,Armenia,2009,Eastern Europe and Central Asia,NBFI,AREGAK UCO,2009-12-31,41,2006,1,104208,4,29477617.83,30180,894,29286,0,30186,900,29286,0,21723202.52,3104900.9,18618301.62,0,719.64,0.2707,0.2708,1.6194,0.2693,0.0489,0.0889,95.1081,95.022,0.0374,0.0242,0.0172,0.0172,4,TRUE,-3.2860845745616514,-3.721402645819496,3,0.857069835944245,6.57875796811378,0.305250327877886,10.31493473232184,-13.5457916827765,36.46,69.247,8.78869455248089,8.69324759497474,16.91179574051987,16.6491646925979,28,3.40676682683799,24.8549219693588,17.7902065128525,30.2390435157928,68.8,58.5,93.2,-0.621459662914276,-0.0199411083012819,0.273454070091248,-0.876420259475708,-0.468710690736771,0.227863356471062,8819.67745940627,77786710.48795904,36,0.741,0.549081,69.89791992,5.3,6.5,8.82636337247188,2008; 2011; 2018; 2021,cluster_03
15,AREGAK Universal Credit Organization CJSC,Armenia,2010,Eastern Europe and Central Asia,NBFI,AREGAK UCO,2010-12-31,41,2006,1,104208,4,28086850.65,28886,0,0,0,28922,650,28272,0,23365529.39,1539703.94,21825825.45,0,807.88,0.2394,0.2397,2.198,0.3016,0.04,0.0938,91.4152,91.3502,0.031,0.0126,0.037,0.037,4,TRUE,-3.4737680744969905,-4.374058465024705,4,0.934103614161682,6.69441456107879,0.184039685129851,10.27111232766111,2.82448188304339,36.56,69.301,5.71603784546004,9.68462338925983,16.999148633691316,18.0268407541102,30,8.17636138473956,28.4451645997959,18.5555256845155,34.0472320118203,68.8,58.5,93.2,-0.695039570331573,-0.166394770145416,0.26894655823707603,-0.847521543502808,-0.48135831952095,0.071855328977108,9068.78765139006,82242909.46600482,35.9,0.746,0.556516,69.2,5.8,6.5,8.82636337247188,2008; 2011; 2018; 2021,cluster_03
16,AREGAK Universal Credit Organization CJSC,Armenia,2011,Eastern Europe and Central Asia,NBFI,AREGAK UCO,2011-12-31,41,2006,1,104208,4,29955332.88,26660,0,0,0,26709,804,25905,0,25133135.44,2375570.36,22757565.07,0,941,0.274,0.2745,2.3045,0.317,0.0294,0.1009,105.4682,105.3071,0.0139,0.0067,0.0103,0.0103,4,TRUE,-4.275866438845491,-5.005647752585217,5,0.905480541189492,6.84694180429724,0.175520255568397,10.1909195937327,5.3190183518382,36.66,69.313,6.44066836705362,10.56847933437687,20.325348252764677,17.7342235057518,29.4,7.650008078592899,35.367887872035,19.9797871872171,43.5412640861815,68.8,58.5,92.9,-0.664559423923492,-0.108996279537678,0.246940597891808,-0.690779805183411,-0.43770641088485707,-0.06386898458004,9551.15813085673,91224621.6406306,35.7,0.75,0.5625,69.7,5.3,6.2,8.82636337247188,2008; 2011; 2018; 2021,cluster_03
17,AREGAK Universal Credit Organization CJSC,Armenia,2012,Eastern Europe and Central Asia,NBFI,AREGAK UCO,2012-12-31,41,2006,1,104208,4,32033554.69,28102,0,0,0,28146,3623,24523,0,28254462.56,4916175.23,23338287.33,0,1003.85,0.2713,0.2717,2.4679,0.263,0.0236,0.0926,104.7638,104.5862,0.0043,0.0022,0.0129,0.0129,4,TRUE,-5.44914025628262,-6.119297918617867,6,0.826003583697258,6.91160144225045,0.125532525639288,10.24359602716628,7.7353708344903005,36.76,69.308,4.67672787765567,9.42475853227752,17.9126819526397,18.0330189489986,29.6,2.55802007757907,40.0600551046667,21.2788869505287,50.3973638301997,75,50.7,92.9,-0.588001489639282,-0.0269024036824703,0.334273397922516,-0.570491433143616,-0.41828197240829507,0.154794976115227,10289.9756312671,105883598.49207076,36.1,0.755,0.570025,68.8,5.6,5.9,8.82636337247188,2008; 2011; 2018; 2021,cluster_03
18,AREGAK Universal Credit Organization CJSC,Armenia,2013,Eastern Europe and Central Asia,NBFI,AREGAK UCO,2013-12-31,41,2006,1,104208,3,35640491.42,27946,0,0,0,28828,5408,23420,0,33940856.9,6338241.76,27602615.14,0,1177.36,0.3098,0.3196,2.0303,0.2664,0.0247,0.1075,129.814,127.7042,0.0048,0.0029,0.0011,0.0011,4,TRUE,-5.339139361068292,-5.843044541989709,7,0.813256283461718,7.07102764890289,0.048862883964556,10.23802935564039,3.7641296484265205,36.836,69.494,3.11193148125796,9.68257531952384,18.4347628834968,19.7113750362956,30.6,5.78966778544654,42.380240486921,21.7374587536016,53.9140528374902,75,50.7,93.1,-0.530450224876404,0.0853265821933746,0.23518268764019,-0.588030815124512,-0.340971231460571,0.11038514226675,10677.3036548195,114004813.33722185,36.5,0.76,0.5776,69.4,5.9,5.6,8.82636337247188,2008; 2011; 2018; 2021,cluster_03
19,AREGAK Universal Credit Organization CJSC,Armenia,2014,Eastern Europe and Central Asia,NBFI,AREGAK UCO,2014-12-31,41,2006,1,104208,2,34508995.08,28163,0,0,0,29832,0,22791,7041,33012842.54,5920181.13,27092661.41,0,1106.63,0.2912,0.3085,2.1185,0.2932,0.0289,0.0967,120.8566,115.6008,0.0134,0.0083,NA,NA,4,TRUE,-4.312500572025272,-4.7914997641795845,8,0.820670361153336,7.00907028974471,0.0443233633713795,10.24576433868853,4.01064593319273,36.888,69.717,3.50211424719527,9.66640553649803,18.0720363470662,17.9044403119024,31.5,2.98130868933673,48.9171731063841,22.7099967691816,59.4316330544431,75,52.6,93.1,-0.565155386924744,-0.251768827438354,0.15851990878582,-0.562072694301605,-0.41779625415802,-0.297135800123215,11105.5324996261,123332852.10025154,36.8,0.764,0.583696,68.9,5.8,5.3,8.82636337247188,2008; 2011; 2018; 2021,cluster_03
20,ASA,Bangladesh,2008,South Asia,NGO,ASA,2008-12-31,42,1978,1,100294,4,507483935.47,5877440,0,0,5877440,5877440,5877440,0,0,463079866,463079866,0,0,78.79,0.1515,0.1515,1.3521,0.2259,0.0194,0.1336,10.9908,10.9908,0.0447,0.0364,0.0052,0.0044,4,TRUE,-3.107781777362614,-3.3131865043394426,30,0,4.3667782430126,0.0915655201979931,15.58663185092231,5.07673024802307,71.032,59.032,1.4497483960094,16.124366972693,17.5956955421992,9.7571612861557,NA,8.90194489465155,34.0421917464818,7.18372886858348,0.843442123275413,NA,NA,NA,-1.0467883348465,-0.7378183007240299,-0.914517819881439,-0.442116975784302,-0.752373576164246,-1.5083312988281303,3124.22679727975,9760793.08084088,34.3,0.53,0.2809,44.20676636,7.1,9,9.53343445822026,2002; 2018,cluster_05
21,ASA,Bangladesh,2009,South Asia,NGO,ASA,2009-12-31,42,1978,1,100294,4,592753624.76,4000401,4000401,0,0,4000401,4000401,0,0,456298851.65,456298851.65,0,0,114.06,0.1967,0.1967,1.5821,0.2127,0.0172,0.1072,11.9434,11.9434,0.0431,0.038,0.0097,0.0083,4,TRUE,-3.1442322818724344,-3.270169119255751,31,0,4.73675336517929,0.261630868810497,15.20190516405947,4.12468580681646,70.291,58.87,0.879494542360121,16.4801860604835,17.1046290519632,10.2662760920969,NA,5.42347236174678,36.1910375652522,7.39999838848088,1.28576494215651,NA,NA,NA,-1.0752512216568,-0.8022244572639471,-0.866342842578888,-0.289043039083481,-0.784571468830109,-1.54677140712738,3253.0913365599,10582603.24400108,34.4,0.541,0.292681,47.46877713,8,9,9.53343445822026,2002; 2018,cluster_05
22,ASA,Bangladesh,2010,South Asia,NGO,ASA,2010-12-31,42,1978,1,100294,4,699641809.95,4467497,0,0,0,4467497,4467497,0,0,531451086.88,531451086.88,0,0,118.96,0.1878,0.1878,1.8284,0.2166,0.016,0.1004,15.32,15.32,0.024,0.0216,0.01,0.0073,4,TRUE,-3.7297014486341915,-3.8350619642920174,32,0,4.77878286856462,0.274957338909481,15.31233885449899,4.37348466696672,69.538,58.707,1.06893486111064,16.1212283592006,17.0011812592919,9.41212564836714,32.1,8.12667639169919,40.9613226292342,7.65961599081133,2.1131692919499,NA,NA,NA,-1.05408024787903,-0.7526317834854132,-0.857593059539795,-0.268090695142746,-0.801013290882111,-1.42578947544098,3395.36478736678,11528502.03929026,34.4,0.553,0.305809,51.1,7.9,8.8,9.53343445822026,2002; 2018,cluster_05
23,ASA,Bangladesh,2011,South Asia,NGO,ASA,2011-12-31,42,1978,1,100294,4,722953958.66,4359218,0,0,0,4359218,4359218,0,0,579777717.31,579777717.31,0,0,133,0.1769,0.1769,1.93,0.2544,0.0379,0.088,14.1895,14.1895,0.0232,0.0196,0.008,0.0052,4,TRUE,-3.763603000309873,-3.9322257127456655,33,0,4.89035210058946,0.220700755097158,15.28780324144052,5.17452087467107,68.775,58.545,0.983166533919391,15.9967342498947,16.8099867573503,9.38375824821049,NA,11.3951651552399,42.4702411629772,7.8693418091693,3.70902319382024,NA,NA,NA,-1.09738862514496,-0.771310925483704,-0.817078590393066,-0.315068930387497,-0.733335554599762,-1.40473687648773,3571.0586470603,12752459.86074414,34.4,0.561,0.314721,53,7.7,8.4,9.53343445822026,2002; 2018,cluster_05
24,ASA Pakistan Limited,Pakistan,2009,South Asia,NBFI,ASA Pakistan,2009-12-31,43,2008,1,111777,4,1770352.52,18283,0,18283,0,18283,0,18283,0,1425359.05,0,1425359.05,0,77.96,0.078,0.078,0.7037,0.257,0.0211,0.3439,35.6143,35.6143,0.0011,1e-4,0,0,4,TRUE,-6.812445099177812,-9.210340371976182,1,1,4.35620735953084,0.216754943701993,9.8137269453285,0.564734298300792,65.207,52.128,1.39040226726245,12.7205247813455,22.717330013461705,5.183976289019139,NA,13.6477650639761,22.7227865928929,8.37322012076505,3.90381813771202,NA,NA,NA,-1.07562577724457,-0.8077713251113892,-0.584045112133026,-0.855763971805573,-0.838977217674255,-2.644526720047,4084.82537302128,16685798.32807844,34.5,0.502,0.252004,56.98230141,6.4,8.8,9.26237703645189,2001; 2012; 2018,cluster_05
25,ASA Pakistan Limited,Pakistan,2010,South Asia,NBFI,ASA Pakistan,2010-12-31,43,2008,1,111777,4,9418575.29,85380,0,0,0,85380,4,85376,0,8598579.29,4577.14,8594002.15,0,100.71,0.0949,0.0949,1.2488,0.2913,0.0148,0.1985,12.3983,21.4282,0.0114,0.0017,0,0,4,TRUE,-4.474141923581687,-6.3771270279199666,2,0.99946768648103,4.61224038842774,0.0910868432746711,11.35486716031195,-0.656496930742478,65.003,52.682,1.14130485808969,13.0748605838059,23.281589636534495,5.4694579994506,28.8,12.938870563489001,21.412917545858,8.38442985702539,4.28122066528577,NA,NA,NA,-1.08961069583893,-0.770817995071411,-0.61335825920105,-0.7986512780189511,-0.737805545330048,-2.67593312263489,4058.0086198212002,16467433.958543161,34.4,0.505,0.255025,55.2,6.2,8.4,9.26237703645189,2001; 2012; 2018,cluster_05
26,ASA Pakistan Limited,Pakistan,2011,South Asia,NBFI,ASA Pakistan,2011-12-31,43,2008,1,111777,4,16204964.52,142814,0,0,0,142814,22,142792,0,15118942.02,16880.97,15102061.06,0,105.86,0.0892,0.0892,2.0017,0.3803,0.0326,0.139,15.6077,15.6077,0.0122,0.0083,0,0,4,TRUE,-4.406319327242926,-4.7914997641795845,3,0.998883455603066,4.66216059074749,0.069369251062418,11.86929836329778,0.602287230228342,64.798,52.505,0.620823100122343,13.8301058630674,25.1291827073544,5.74144319517368,29.7,11.9160927116277,18.1263337413058,8.52856816243824,4.71894961176437,NA,NA,NA,-1.08339202404022,-0.8293701410293581,-0.647816777229309,-0.829199433326721,-0.9066281914711,-2.81003546714783,4082.44948753995,16666393.8183152,34.5,0.508,0.258064,55.1,6.6,8.5,9.26237703645189,2001; 2012; 2018,cluster_05
27,ASA Pakistan Limited,Pakistan,2012,South Asia,NBFI,ASA Pakistan,2012-12-31,43,2008,1,111777,4,16190579.9,147437,0,0,0,147437,30,147407,0,15439597.14,23260,15416337.14,0,104.72,0.0882,0.0882,1.6561,0.3408,0.0382,0.1388,15.3642,15.4906,0.0342,0.0265,0.0096,0.0096,4,TRUE,-3.3755296349135775,-3.6306105459899607,4,0.998493484008094,4.6512897653748,0.0474941331671869,11.9011562448768,1.66263301076835,64.592,52.833,0.382826516848328,14.0158331878383,23.710248671838,6.24243425086673,NA,9.6823518605568,16.9400444781753,8.7505217772778,5.28689707302287,NA,NA,NA,-1.06879222393036,-0.7780082821846012,-0.722233474254608,-0.8435821533203132,-0.883420169353485,-2.67700362205505,4150.32564036774,17225202.92109389,34.5,0.513,0.263169,54.7,7.2,8.2,9.26237703645189,2001; 2012; 2018,cluster_05
28,ASA Pakistan Limited,Pakistan,2013,South Asia,NBFI,ASA Pakistan,2013-12-31,43,2008,1,111777,2,18632476.41,179588,0,0,0,179588,179588,0,0,17979154.27,17979154.27,0,0,100.11,0.0844,0.0844,1.922,0.3639,0.031,0.1408,14.9225,14.9977,0.0047,0.004,0.0253,0.0253,4,TRUE,-5.360192770266124,-5.521460917862246,5,0,4.6063029311646,0.0356931110319939,12.09842061747324,2.80425652921821,64.387,53.162,0.576510795073031,13.5681120600402,23.8321164648607,6.32691404435362,29.5,7.692156118995701,16.1155186278304,9.05410344195688,6.29441996866395,NA,NA,NA,-0.9626420736312868,-0.792022287845612,-0.705004990100861,-0.799480617046356,-0.855993092060089,-2.60330200195313,4266.71141812156,18204826.32552889,34.4,0.518,0.268324,55.1,7.5,7.9,9.26237703645189,2001; 2012; 2018,cluster_05
29,ASA Pakistan Limited,Pakistan,2014,South Asia,NBFI,ASA Pakistan,2014-12-31,43,2008,1,111777,2,27931433.47,220606,0,0,0,220606,220606,0,0,27251040.63,27251040.63,0,0,123.53,0.0908,0.0908,2.44,0.4279,0.0315,0.1354,15.7892,15.7531,0.0018,0.0014,0.0029,0.0021,4,TRUE,-6.319968614080018,-6.571283042360924,6,0,4.81646868262018,0.0246609936693988,12.30413358398108,3.20999430550945,64.181,52.768,0.772218504215834,13.5424307987606,23.7445401162272,7.05677577461465,NA,7.18938402847025,15.5889529137955,9.30702485529817,7.2686032913745695,43.8,40.3,43.4,-0.838965237140656,-0.757806360721588,-0.688540935516357,-0.716015040874481,-0.7509300112724299,-2.40127921104431,4403.67261167579,19392332.47082347,34.4,0.527,0.277729,55.2,7.5,7.6,9.26237703645189,2001; 2012; 2018,cluster_05
30,ASA Philippines,Philippines,2008,East Asia and the Pacific,NGO,ASA Philippines,2008-12-31,44,2004,1,101825,4,7249033.4,97409,97409,0,0,97409,97409,0,0,7943399.33,7943399.33,0,0,81.55,0.0431,0.0431,1.1086,0.4815,0.0255,0.3315,30.1093,30.1093,0.0014,0,0.0105,0.0105,4,TRUE,-6.571283042360924,-9.903487552536127,4,0,4.4011779809812,-0.0914731750025728,11.48667388782585,2.41093432953198,54.545,62.715,0.737800788965931,23.2686676777552,14.5160747573134,10.3789215725364,NA,8.26044703595726,27.8760610609157,7.5671931699709,13.1723953966145,25,50.6,62.9,-0.778095126152039,0.0629234835505486,-0.0791466757655144,-0.138752609491348,-0.550221860408783,-1.77923631668091,5596.91304505301,31325435.63388456,41.9,0.668,0.446224,55.96329499,5.9,7.6,7.01363085228845,2001; 2012; 2019,cluster_09
